werkorder_id,datum,tag,equipment_type,systeem,locatie,werkorder_type,prioriteit,faalmodus,beschrijving,responstijd_uur,reparatietijd_uur,stilstandtijd_uur,materiaalkosten_EUR,arbeidskosten_EUR,totaalkosten_EUR,terugkerend
WO-00797,2025-12-15,TEM-842,temperatuursensor,instrumentatie,Unit_100,verbetering,medium,lekkage,"Alarming op DCS voor TEM-842: lekkage gedetecteerd. Gekalibreerd volgens SOP-421, resultaten binnen spec.",36.6,4.2,1.2,152.0,245.0,397.0,0
WO-00798,2024-01-06,KLE-949,klep,instrumentatie,Unit_400,predictief,medium,erosie,Alarming op DCS voor KLE-949: erosie gedetecteerd. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,16.5,2.5,0.8,104.0,166.0,271.0,0
WO-00799,2025-06-05,FLE-257,flens,piping,Unit_300,verbetering,medium,defect,"Storing op FLE-257 (flens) in Unit_300. Symptoom: defect. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",10.5,0.7,0.2,245.0,43.0,288.0,0
WO-00800,2024-10-14,CEN-252,centrifuge,mechanisch,Unit_300,preventief,hoog,veroudering,"Tijdens ronde geconstateerd: veroudering bij CEN-252. Vervangen door nieuw onderdeel, getest en vrijgegeven.",9.4,0.9,0.3,108.0,62.0,170.0,0
WO-00801,2024-08-08,SCH-770,schakelaar,elektrisch,Unit_100,correctief,kritiek,defect,"Storing op SCH-770 (schakelaar) in Unit_100. Symptoom: defect. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",1.4,0.2,0.3,317.0,12.0,329.0,1
WO-00802,2024-06-16,PAK-803,pakking,piping,Unit_100,correctief,hoog,veroudering,"Operator meldt abnormaal geluid/trilling bij PAK-803 (pakking). Vervangen door nieuw onderdeel, getest en vrijgegeven.",11.9,5.5,3.3,83.0,343.0,425.0,0
WO-00803,2024-03-02,COM-837,compressor,mechanisch,Utiliteiten,correctief,kritiek,lager defect,"Tijdens ronde geconstateerd: lager defect bij COM-837. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.3,7.6,4.7,93.0,443.0,536.0,0
WO-00804,2025-04-29,VEN-986,ventilator,mechanisch,Unit_300,predictief,hoog,lekkage,"Alarming op DCS voor VEN-986: lekkage gedetecteerd. Elektrische metingen uitgevoerd: isolatie 55.530399631998904 MOhm, binnen spec.",1.0,0.6,0.2,94.0,48.0,142.0,0
WO-00805,2025-07-01,VEN-936,ventilator,mechanisch,Unit_400,predictief,laag,storing,"Melding ontvangen: ventilator VEN-936 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",28.6,1.4,0.4,137.0,86.0,223.0,0
WO-00806,2025-07-02,FRE-656,frequentieregelaar,elektrisch,Unit_100,verbetering,hoog,lekkage,"Melding ontvangen: frequentieregelaar FRE-656 functioneert niet correct. Elektrische metingen uitgevoerd: isolatie 417.70475791748106 MOhm, binnen spec.",1.8,51.6,15.5,60.0,3234.0,3293.0,0
WO-00807,2024-11-13,FRE-895,frequentieregelaar,elektrisch,Unit_200,preventief,kritiek,defect,"Melding ontvangen: frequentieregelaar FRE-895 functioneert niet correct. Gekalibreerd volgens SOP-816, resultaten binnen spec.",1.0,3.1,0.9,578.0,208.0,785.0,1
WO-00808,2024-02-07,FLO-652,flowmeter,instrumentatie,Unit_300,preventief,hoog,veroudering,"Tijdens ronde geconstateerd: veroudering bij FLO-652. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",3.2,0.6,0.2,173.0,33.0,206.0,0
WO-00809,2025-04-16,KLE-810,klep,instrumentatie,Utiliteiten,correctief,laag,positioner drift,Melding ontvangen: klep KLE-810 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 17.417101559284156 bar.,99.7,7.3,5.3,335.0,544.0,879.0,0
WO-00810,2025-09-06,MOT-888,motor,elektrisch,Unit_200,verbetering,laag,onbalans,"Storing op MOT-888 (motor) in Unit_200. Symptoom: onbalans. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",12.4,6.6,2.0,195.0,426.0,621.0,0
WO-00811,2025-01-10,POM-892,pomp,mechanisch,Unit_100,correctief,medium,motor oververhitting,Storing op POM-892 (pomp) in Unit_100. Symptoom: motor oververhitting. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 11.914270276446302 bar.,23.0,17.7,14.2,58.0,1064.0,1122.0,1
WO-00812,2025-01-03,ROE-438,roerder,mechanisch,Unit_400,preventief,hoog,storing,Alarming op DCS voor ROE-438: storing gedetecteerd. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,14.4,0.6,0.2,213.0,39.0,252.0,0
WO-00813,2025-05-11,POM-142,pomp,mechanisch,Utiliteiten,correctief,medium,cavitatie,"Tijdens ronde geconstateerd: cavitatie bij POM-142. Vervangen door nieuw onderdeel, getest en vrijgegeven.",16.0,0.9,1.0,270.0,60.0,329.0,0
WO-00814,2024-04-26,DRU-698,druktransmitter,instrumentatie,Unit_100,inspectie,medium,veroudering,"Storing op DRU-698 (druktransmitter) in Unit_100. Symptoom: veroudering. Elektrische metingen uitgevoerd: isolatie 184.38727485048418 MOhm, binnen spec.",3.1,1.2,0.4,261.0,63.0,324.0,0
WO-00815,2025-12-12,VEN-770,ventilator,mechanisch,Unit_100,inspectie,medium,defect,Melding ontvangen: ventilator VEN-770 functioneert niet correct. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,6.5,1.1,0.3,108.0,82.0,191.0,0
WO-00816,2024-04-19,CEN-934,centrifuge,mechanisch,Utiliteiten,predictief,medium,defect,"Melding ontvangen: centrifuge CEN-934 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",2.4,2.5,0.8,171.0,160.0,331.0,0
WO-00817,2024-10-26,PLC-142,PLC,elektrisch,Utiliteiten,correctief,hoog,storing,Operator meldt abnormaal geluid/trilling bij PLC-142 (PLC). Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,2.8,21.2,11.2,445.0,1376.0,1821.0,0
WO-00818,2025-05-09,CEN-592,centrifuge,mechanisch,Unit_200,preventief,hoog,veroudering,"Melding ontvangen: centrifuge CEN-592 functioneert niet correct. Elektrische metingen uitgevoerd: isolatie 126.911365201183 MOhm, binnen spec.",4.0,0.9,0.3,75.0,69.0,144.0,0
WO-00819,2024-12-13,SEN-389,sensor,elektrisch,Utiliteiten,predictief,medium,drift,"Melding ontvangen: sensor SEN-389 functioneert niet correct. Gekalibreerd volgens SOP-256, resultaten binnen spec.",3.8,6.0,1.8,376.0,425.0,800.0,1
WO-00820,2025-08-31,COM-900,compressor,mechanisch,Unit_300,predictief,hoog,olie lek,Operator meldt abnormaal geluid/trilling bij COM-900 (compressor). Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 38.56533598736772 bar.,11.7,1.1,0.3,673.0,68.0,741.0,0
WO-00821,2024-05-20,FIL-810,filter,piping,Utiliteiten,verbetering,medium,lekkage,Operator meldt abnormaal geluid/trilling bij FIL-810 (filter). Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,30.9,11.3,3.4,61.0,662.0,723.0,0
WO-00822,2025-09-04,SCH-678,schakelaar,elektrisch,Utiliteiten,correctief,kritiek,storing,Tijdens ronde geconstateerd: storing bij SCH-678. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 7.012604124562081 bar.,0.1,0.1,0.1,114.0,5.0,119.0,0
WO-00823,2024-06-23,CEN-780,centrifuge,mechanisch,Unit_400,verbetering,medium,lekkage,"Melding ontvangen: centrifuge CEN-780 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",3.0,8.0,2.4,51.0,573.0,624.0,0
WO-00824,2025-01-06,KLE-392,klep,instrumentatie,Unit_100,preventief,hoog,sticking,Alarming op DCS voor KLE-392: sticking gedetecteerd. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,5.2,13.7,4.1,237.0,945.0,1182.0,0
WO-00825,2025-08-06,FLE-357,flens,piping,Unit_100,preventief,medium,storing,Melding ontvangen: flens FLE-357 functioneert niet correct. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,4.8,3.2,1.0,171.0,256.0,426.0,0
WO-00826,2025-06-27,COM-443,compressor,mechanisch,Utiliteiten,inspectie,hoog,klep defect,"Tijdens ronde geconstateerd: klep defect bij COM-443. Vervangen door nieuw onderdeel, getest en vrijgegeven.",5.1,2.2,0.7,166.0,121.0,286.0,0
WO-00827,2024-05-18,KLE-801,klep,instrumentatie,Unit_200,correctief,hoog,sticking,"Alarming op DCS voor KLE-801: sticking gedetecteerd. Gekalibreerd volgens SOP-366, resultaten binnen spec.",2.2,1.1,1.1,258.0,74.0,332.0,0
WO-00828,2024-02-29,FIL-876,filter,piping,Unit_400,verbetering,medium,storing,"Alarming op DCS voor FIL-876: storing gedetecteerd. Gekalibreerd volgens SOP-420, resultaten binnen spec.",2.6,4.7,1.4,115.0,354.0,469.0,0
WO-00829,2024-10-29,ANA-421,analyzer,instrumentatie,Unit_100,correctief,medium,veroudering,Melding ontvangen: analyzer ANA-421 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 39.83127726916493 bar.,2.4,3.0,4.1,216.0,201.0,418.0,0
WO-00830,2024-05-20,TEM-575,temperatuursensor,instrumentatie,Unit_200,correctief,medium,storing,"Storing op TEM-575 (temperatuursensor) in Unit_200. Symptoom: storing. Vervangen door nieuw onderdeel, getest en vrijgegeven.",10.7,0.6,0.7,125.0,42.0,167.0,0
WO-00831,2025-08-16,ANA-155,analyzer,instrumentatie,Unit_200,predictief,medium,veroudering,"Tijdens ronde geconstateerd: veroudering bij ANA-155. Vervangen door nieuw onderdeel, getest en vrijgegeven.",2.6,6.6,2.0,65.0,432.0,498.0,0
WO-00832,2024-09-06,KLE-525,klep,instrumentatie,Utiliteiten,correctief,hoog,lekkage,"Alarming op DCS voor KLE-525: lekkage gedetecteerd. Gekalibreerd volgens SOP-709, resultaten binnen spec.",4.4,11.2,13.4,75.0,610.0,685.0,1
WO-00833,2025-07-25,MOT-678,motor,elektrisch,Unit_200,preventief,hoog,lager defect,"Storing op MOT-678 (motor) in Unit_200. Symptoom: lager defect. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",10.0,5.0,1.5,428.0,354.0,782.0,0
WO-00834,2024-05-15,PLC-541,PLC,elektrisch,Unit_400,preventief,medium,storing,"Operator meldt abnormaal geluid/trilling bij PLC-541 (PLC). Elektrische metingen uitgevoerd: isolatie 250.6986681307164 MOhm, binnen spec.",22.2,3.6,1.1,182.0,271.0,453.0,0
WO-00835,2025-08-12,SEN-962,sensor,elektrisch,Unit_400,correctief,medium,breuk,Operator meldt abnormaal geluid/trilling bij SEN-962 (sensor). Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,11.0,2.5,2.3,316.0,188.0,503.0,0
WO-00836,2024-10-17,SCH-561,schakelaar,elektrisch,Unit_200,correctief,medium,veroudering,Tijdens ronde geconstateerd: veroudering bij SCH-561. Root cause analyse uitgevoerd: veroudering. Preventieve maatregel ingevoerd.,7.7,1.5,0.8,97.0,103.0,200.0,1
WO-00837,2024-05-09,VEN-892,ventilator,mechanisch,Utiliteiten,predictief,medium,veroudering,"Melding ontvangen: ventilator VEN-892 functioneert niet correct. Elektrische metingen uitgevoerd: isolatie 283.97336413531923 MOhm, binnen spec.",28.0,5.4,1.6,305.0,415.0,720.0,0
WO-00838,2025-04-01,TRA-685,transformator,elektrisch,Unit_100,predictief,laag,storing,Tijdens ronde geconstateerd: storing bij TRA-685. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 32.66386752811057 bar.,49.1,0.2,0.1,333.0,16.0,349.0,0
WO-00839,2024-02-15,APP-233,appendage,piping,Unit_200,inspectie,medium,defect,"Storing op APP-233 (appendage) in Unit_200. Symptoom: defect. Elektrische metingen uitgevoerd: isolatie 338.3055857918729 MOhm, binnen spec.",16.0,3.0,0.9,245.0,184.0,429.0,0
WO-00840,2024-08-01,KLE-929,klep,instrumentatie,Unit_400,preventief,medium,lekkage,"Alarming op DCS voor KLE-929: lekkage gedetecteerd. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",33.9,4.4,1.3,534.0,264.0,798.0,0
WO-00841,2025-02-28,FRE-204,frequentieregelaar,elektrisch,Unit_100,predictief,laag,storing,"Alarming op DCS voor FRE-204: storing gedetecteerd. Onderdeel besteld, verwachte levertijd 10 dagen. Bypass ingeschakeld.",17.0,6.3,1.9,262.0,394.0,657.0,0
WO-00842,2024-08-22,MOT-789,motor,elektrisch,Unit_400,preventief,kritiek,overbelasting,"Alarming op DCS voor MOT-789: overbelasting gedetecteerd. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",2.3,0.8,0.2,146.0,46.0,191.0,1
WO-00843,2024-11-01,EXP-574,expansievat,piping,Unit_100,preventief,medium,storing,Operator meldt abnormaal geluid/trilling bij EXP-574 (expansievat). Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 27.981806141495824 bar.,3.2,2.4,0.7,114.0,127.0,241.0,0
WO-00844,2025-04-10,NIV-751,niveaumeter,instrumentatie,Unit_200,correctief,laag,veroudering,"Tijdens ronde geconstateerd: veroudering bij NIV-751. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",8.6,5.1,5.7,167.0,339.0,506.0,0
WO-00845,2025-03-17,FLO-965,flowmeter,instrumentatie,Unit_100,preventief,hoog,storing,"Melding ontvangen: flowmeter FLO-965 functioneert niet correct. Onderdeel besteld, verwachte levertijd 13 dagen. Bypass ingeschakeld.",9.3,9.5,2.8,107.0,620.0,727.0,0
WO-00846,2025-04-02,PAK-774,pakking,piping,Utiliteiten,correctief,hoog,storing,"Tijdens ronde geconstateerd: storing bij PAK-774. Onderdeel besteld, verwachte levertijd 13 dagen. Bypass ingeschakeld.",0.8,3.3,1.9,131.0,175.0,305.0,0
WO-00847,2025-09-09,FLO-710,flowmeter,instrumentatie,Utiliteiten,preventief,medium,defect,Operator meldt abnormaal geluid/trilling bij FLO-710 (flowmeter). Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 15.034801227486103 bar.,3.5,6.0,1.8,114.0,381.0,495.0,0
WO-00848,2024-07-25,PLC-256,PLC,elektrisch,Unit_400,preventief,laag,lekkage,Melding ontvangen: PLC PLC-256 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 29.779251999278657 bar.,46.2,0.7,0.2,445.0,38.0,483.0,0
WO-00849,2025-08-07,NIV-726,niveaumeter,instrumentatie,Unit_200,correctief,hoog,defect,"Melding ontvangen: niveaumeter NIV-726 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",1.4,1.2,1.7,209.0,72.0,281.0,0
WO-00850,2025-03-23,NIV-289,niveaumeter,instrumentatie,Unit_300,predictief,kritiek,defect,"Operator meldt abnormaal geluid/trilling bij NIV-289 (niveaumeter). Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.1,0.4,0.1,69.0,27.0,96.0,0
WO-00851,2025-05-29,FLE-925,flens,piping,Utiliteiten,predictief,hoog,storing,Alarming op DCS voor FLE-925: storing gedetecteerd. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,1.2,7.4,2.2,297.0,382.0,679.0,1
WO-00852,2024-01-26,VEN-805,ventilator,mechanisch,Unit_300,correctief,medium,defect,"Alarming op DCS voor VEN-805: defect gedetecteerd. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",24.5,0.2,0.2,57.0,11.0,68.0,0
WO-00853,2024-02-03,TEM-683,temperatuursensor,instrumentatie,Utiliteiten,correctief,hoog,defect,Melding ontvangen: temperatuursensor TEM-683 functioneert niet correct. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,2.4,12.9,15.0,133.0,914.0,1048.0,0
WO-00854,2024-10-13,SEN-956,sensor,elektrisch,Unit_400,predictief,hoog,kortsluiting,Alarming op DCS voor SEN-956: kortsluiting gedetecteerd. Root cause analyse uitgevoerd: kortsluiting. Preventieve maatregel ingevoerd.,7.8,1.3,0.4,717.0,85.0,803.0,0
WO-00855,2024-06-06,ROE-659,roerder,mechanisch,Unit_100,correctief,hoog,defect,"Melding ontvangen: roerder ROE-659 functioneert niet correct. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",2.8,12.3,15.8,242.0,908.0,1150.0,1
WO-00856,2024-11-13,COM-245,compressor,mechanisch,Unit_300,preventief,laag,trillingen hoog,"Melding ontvangen: compressor COM-245 functioneert niet correct. Onderdeel besteld, verwachte levertijd 4 dagen. Bypass ingeschakeld.",17.6,0.5,0.2,57.0,38.0,95.0,1
WO-00857,2025-06-28,COM-426,compressor,mechanisch,Unit_400,predictief,medium,klep defect,"Tijdens ronde geconstateerd: klep defect bij COM-426. Elektrische metingen uitgevoerd: isolatie 157.39821527518347 MOhm, binnen spec.",14.5,1.2,0.4,379.0,68.0,447.0,0
WO-00858,2025-12-27,FIL-194,filter,piping,Unit_200,preventief,medium,veroudering,"Tijdens ronde geconstateerd: veroudering bij FIL-194. Vervangen door nieuw onderdeel, getest en vrijgegeven.",13.4,2.2,0.7,60.0,159.0,218.0,1
WO-00859,2025-10-20,PLC-484,PLC,elektrisch,Utiliteiten,predictief,laag,lekkage,"Operator meldt abnormaal geluid/trilling bij PLC-484 (PLC). Vervangen door nieuw onderdeel, getest en vrijgegeven.",93.1,5.9,1.8,139.0,315.0,453.0,0
WO-00860,2024-06-28,LEI-475,leiding,piping,Unit_100,predictief,medium,defect,"Storing op LEI-475 (leiding) in Unit_100. Symptoom: defect. Elektrische metingen uitgevoerd: isolatie 87.84816324200082 MOhm, binnen spec.",50.4,6.6,2.0,527.0,389.0,916.0,0
WO-00861,2025-10-31,SCH-208,schakelaar,elektrisch,Unit_300,inspectie,medium,storing,"Storing op SCH-208 (schakelaar) in Unit_300. Symptoom: storing. Vervangen door nieuw onderdeel, getest en vrijgegeven.",4.9,2.3,0.7,61.0,168.0,229.0,0
WO-00862,2025-08-27,TRA-521,transformator,elektrisch,Unit_300,correctief,medium,veroudering,"Tijdens ronde geconstateerd: veroudering bij TRA-521. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.4,2.7,1.8,98.0,158.0,256.0,1
WO-00863,2024-01-02,APP-871,appendage,piping,Utiliteiten,correctief,laag,lekkage,"Operator meldt abnormaal geluid/trilling bij APP-871 (appendage). Schoongemaakt en geinspecteerd, geen verdere actie nodig.",44.1,5.8,7.0,163.0,430.0,593.0,0
WO-00864,2024-12-20,TRA-731,transportband,mechanisch,Utiliteiten,correctief,medium,lekkage,Melding ontvangen: transportband TRA-731 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 28.781035969487696 bar.,55.9,2.2,1.7,91.0,153.0,244.0,0
WO-00865,2024-09-19,CEN-930,centrifuge,mechanisch,Unit_300,predictief,hoog,storing,"Operator meldt abnormaal geluid/trilling bij CEN-930 (centrifuge). Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",13.5,0.9,0.3,80.0,52.0,132.0,0
WO-00866,2025-10-27,CEN-947,centrifuge,mechanisch,Unit_400,inspectie,hoog,storing,"Storing op CEN-947 (centrifuge) in Unit_400. Symptoom: storing. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",16.1,0.6,0.2,158.0,34.0,191.0,0
WO-00867,2025-08-11,COM-915,compressor,mechanisch,Unit_100,predictief,laag,lager defect,"Storing op COM-915 (compressor) in Unit_100. Symptoom: lager defect. Onderdeel besteld, verwachte levertijd 22 dagen. Bypass ingeschakeld.",1.3,0.5,0.2,218.0,33.0,251.0,0
WO-00868,2025-01-28,TEM-126,temperatuursensor,instrumentatie,Unit_200,predictief,medium,slijtage,Tijdens ronde geconstateerd: slijtage bij TEM-126. Root cause analyse uitgevoerd: slijtage. Preventieve maatregel ingevoerd.,8.1,0.7,0.2,191.0,37.0,229.0,0
WO-00869,2025-08-04,CEN-257,centrifuge,mechanisch,Unit_100,correctief,kritiek,defect,Alarming op DCS voor CEN-257: defect gedetecteerd. Root cause analyse uitgevoerd: defect. Preventieve maatregel ingevoerd.,0.4,19.7,13.5,78.0,1171.0,1249.0,0
WO-00870,2024-11-19,TRA-747,transportband,mechanisch,Unit_400,correctief,medium,lekkage,"Storing op TRA-747 (transportband) in Unit_400. Symptoom: lekkage. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",1.8,20.5,25.9,395.0,1173.0,1568.0,0
WO-00871,2024-04-27,LEI-748,leiding,piping,Unit_400,preventief,hoog,storing,"Operator meldt abnormaal geluid/trilling bij LEI-748 (leiding). Elektrische metingen uitgevoerd: isolatie 159.96346297430426 MOhm, binnen spec.",3.2,6.5,1.9,325.0,491.0,816.0,1
WO-00872,2025-02-03,PLC-253,PLC,elektrisch,Unit_200,predictief,laag,storing,Alarming op DCS voor PLC-253: storing gedetecteerd. Root cause analyse uitgevoerd: storing. Preventieve maatregel ingevoerd.,4.4,1.1,0.3,208.0,69.0,278.0,0
WO-00873,2024-04-17,COM-953,compressor,mechanisch,Utiliteiten,predictief,laag,surge,"Alarming op DCS voor COM-953: surge gedetecteerd. Elektrische metingen uitgevoerd: isolatie 167.18411105608442 MOhm, binnen spec.",10.6,0.0,0.0,66.0,3.0,68.0,0
WO-00874,2025-02-14,FLE-536,flens,piping,Unit_200,inspectie,kritiek,veroudering,"Storing op FLE-536 (flens) in Unit_200. Symptoom: veroudering. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",1.7,0.0,0.0,579.0,1.0,580.0,0
WO-00875,2024-09-09,PLC-466,PLC,elektrisch,Unit_100,predictief,hoog,lekkage,"Operator meldt abnormaal geluid/trilling bij PLC-466 (PLC). Vervangen door nieuw onderdeel, getest en vrijgegeven.",11.1,9.1,2.7,194.0,723.0,918.0,0
WO-00876,2025-11-29,NIV-754,niveaumeter,instrumentatie,Unit_300,verbetering,hoog,storing,"Storing op NIV-754 (niveaumeter) in Unit_300. Symptoom: storing. Onderdeel besteld, verwachte levertijd 1 dagen. Bypass ingeschakeld.",0.2,8.7,2.6,453.0,567.0,1021.0,1
WO-00877,2025-06-04,ROE-400,roerder,mechanisch,Utiliteiten,correctief,medium,storing,"Operator meldt abnormaal geluid/trilling bij ROE-400 (roerder). Vervangen door nieuw onderdeel, getest en vrijgegeven.",24.3,0.0,0.0,812.0,2.0,814.0,0
WO-00878,2024-04-14,SCH-598,schakelaar,elektrisch,Utiliteiten,predictief,medium,lekkage,"Operator meldt abnormaal geluid/trilling bij SCH-598 (schakelaar). Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",17.6,2.2,0.7,162.0,168.0,330.0,0
WO-00879,2024-09-20,TEM-438,temperatuursensor,instrumentatie,Unit_400,inspectie,laag,defect,Storing op TEM-438 (temperatuursensor) in Unit_400. Symptoom: defect. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,164.0,0.6,0.2,124.0,34.0,158.0,0
WO-00880,2025-10-02,KLE-224,klep,instrumentatie,Unit_100,correctief,medium,positioner drift,"Tijdens ronde geconstateerd: positioner drift bij KLE-224. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",1.6,9.4,5.2,399.0,520.0,919.0,0
WO-00881,2025-12-30,SCH-881,schakelaar,elektrisch,Unit_100,inspectie,hoog,storing,"Operator meldt abnormaal geluid/trilling bij SCH-881 (schakelaar). Vervangen door nieuw onderdeel, getest en vrijgegeven.",1.3,2.8,0.8,797.0,197.0,993.0,0
WO-00882,2025-03-18,ROE-439,roerder,mechanisch,Unit_400,correctief,laag,slijtage,"Melding ontvangen: roerder ROE-439 functioneert niet correct. Gekalibreerd volgens SOP-152, resultaten binnen spec.",25.3,1.0,0.6,55.0,67.0,122.0,0
WO-00883,2025-07-28,ANA-527,analyzer,instrumentatie,Unit_400,preventief,medium,storing,Storing op ANA-527 (analyzer) in Unit_400. Symptoom: storing. Root cause analyse uitgevoerd: storing. Preventieve maatregel ingevoerd.,4.0,6.2,1.9,57.0,397.0,454.0,0
WO-00884,2024-05-15,TEM-214,temperatuursensor,instrumentatie,Unit_300,correctief,medium,slijtage,Storing op TEM-214 (temperatuursensor) in Unit_300. Symptoom: slijtage. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 6.107338218559632 bar.,5.7,1.1,1.1,120.0,60.0,180.0,0
WO-00885,2024-06-24,FLE-671,flens,piping,Unit_200,preventief,laag,veroudering,Storing op FLE-671 (flens) in Unit_200. Symptoom: veroudering. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,10.9,9.1,2.7,154.0,708.0,862.0,0
WO-00886,2024-06-16,DRU-978,druktransmitter,instrumentatie,Utiliteiten,correctief,laag,slijtage,"Melding ontvangen: druktransmitter DRU-978 functioneert niet correct. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",48.2,5.3,4.5,137.0,265.0,402.0,0
WO-00887,2024-05-15,ANA-851,analyzer,instrumentatie,Unit_400,correctief,hoog,veroudering,Storing op ANA-851 (analyzer) in Unit_400. Symptoom: veroudering. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 33.72173722570838 bar.,11.1,1.5,1.3,250.0,95.0,345.0,0
WO-00888,2025-09-08,POM-465,pomp,mechanisch,Unit_300,correctief,laag,cavitatie,Storing op POM-465 (pomp) in Unit_300. Symptoom: cavitatie. Root cause analyse uitgevoerd: cavitatie. Preventieve maatregel ingevoerd.,17.0,4.0,2.8,599.0,280.0,879.0,0
WO-00889,2024-05-10,DRU-490,druktransmitter,instrumentatie,Unit_100,predictief,hoog,lekkage,"Operator meldt abnormaal geluid/trilling bij DRU-490 (druktransmitter). Elektrische metingen uitgevoerd: isolatie 168.2911720065835 MOhm, binnen spec.",0.8,3.5,1.1,242.0,236.0,477.0,0
WO-00890,2024-12-15,SEN-652,sensor,elektrisch,Unit_400,inspectie,medium,drift,"Tijdens ronde geconstateerd: drift bij SEN-652. Vervangen door nieuw onderdeel, getest en vrijgegeven.",78.6,0.1,0.0,80.0,6.0,86.0,0
WO-00891,2024-09-13,KLE-987,klep,instrumentatie,Utiliteiten,correctief,medium,erosie,"Alarming op DCS voor KLE-987: erosie gedetecteerd. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",4.0,17.1,19.8,110.0,1210.0,1320.0,0
WO-00892,2024-10-01,POM-588,pomp,mechanisch,Unit_100,preventief,hoog,motor oververhitting,"Storing op POM-588 (pomp) in Unit_100. Symptoom: motor oververhitting. Onderdeel besteld, verwachte levertijd 10 dagen. Bypass ingeschakeld.",7.9,14.8,4.4,220.0,756.0,976.0,0
WO-00893,2024-04-18,NIV-933,niveaumeter,instrumentatie,Unit_100,predictief,hoog,defect,"Alarming op DCS voor NIV-933: defect gedetecteerd. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",8.4,0.8,0.2,70.0,58.0,128.0,0
WO-00894,2025-11-04,APP-580,appendage,piping,Unit_400,preventief,hoog,storing,Alarming op DCS voor APP-580: storing gedetecteerd. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,0.4,5.9,1.8,139.0,451.0,590.0,0
